bundle,sigma,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,time
32,11,-233.33714976659545,40.829906245370594,1.3804772444305862,-0.099683169110042,-0.33516490801772547,-0.0023279333897582525,1.0810049024507546,0.00506076973854124,0.6657849543945509,-1.0277811714745597,0.043491412675788065,1.7360305087084429,-0.05876525181061966,-1.0534905337958864,18931.16863229892
32,11,-233.3472637939735,40.79648282243143,1.380245872610103,-0.09963441996977108,-0.3351739700933334,-0.0023282194190928055,1.081003041461006,0.005041666492265849,0.6697154246681188,-1.0260474558944919,0.04349402206469256,1.7360114521579673,-0.05855690138290665,-1.0520720387613038,18931.07333798385
32,11,-233.35737297430464,40.76305847340234,1.3800144721450252,-0.09958567119274649,-0.33518302472801914,-0.0023285053924877236,1.0810011804712574,0.0050227484990562985,0.6735815525624459,-1.0242235758345224,0.04349716496883939,1.7359908180837185,-0.05836982624586619,-1.050668001329778,18930.978043668776
32,11,-233.36747730761965,40.72963319902175,1.3797830430408777,-0.09953692278011254,-0.33519207192233075,-0.0023287913099424074,1.0809993194815086,0.005004013155193171,0.6773825632669082,-1.0223116390508769,0.043500896543872056,1.735968592800244,-0.058203662441822804,-1.0492784269116462,18930.882749353703
32,11,-233.3775767939495,40.696207000027755,1.3795515853031814,-0.09948817473301291,-0.3352011116768172,-0.0023290771714562647,1.0809974584917599,0.004985457882207953,0.6811177009975854,-1.0203137311334636,0.04350527127607433,1.7359447671346007,-0.0580580515275944,-1.0479033161448705,18930.78745503863
32,11,-233.38767143332507,40.66277987715849,1.3793200989374599,-0.0994394270525912,-0.3352101439920269,-0.0023293629770287008,1.0809955975020114,0.004967080126883033,0.6847862289972616,-1.0182319155058737,0.043510342982370276,1.7359193364263552,-0.057932640574492184,-1.046542664895038,18930.69216072356
32,11,-233.3977612257776,40.629351831152015,1.379088583949236,-0.09939067973999073,-0.33521916886850894,-0.0023296487266591254,1.0809937365122626,0.004948877361251698,0.688387429535427,-1.016068233425379,0.04351616481032422,1.735892300527583,-0.057827082168320665,-1.0451964642553597,18930.596866408487
32,11,-233.4078461713386,40.595922862746335,1.3788570403440332,-0.0993419327963546,-0.33522818630681234,-0.0023299344203469505,1.0809918755225139,0.004930847082598138,0.6919206039082741,-1.0138247039829351,0.043522789238140805,1.7358636638028702,-0.05774103440937767,-1.0438647005466721,18930.501572093413
32,11,-233.4179262700392,40.56249297267943,1.378625468127374,-0.0992931862228257,-0.33523719630748633,-0.0023302200580915884,1.0809900145327653,0.0049129868134574406,0.6953850724387025,-1.011503324103178,0.04353026807466494,1.7358334351293112,-0.05767416091245434,-1.042547355317436,18930.40627777834
32,11,-233.428001521911,40.52906216168912,1.3783938673047809,-0.09924444002054653,-0.3352461988710802,-0.002330505639892454,1.0809881535430166,0.0048952941016156,0.6987801744763145,-1.0091060685444269,0.04353865245938181,1.7358016278965107,-0.057626130806835166,-1.0412444053437373,18930.310983463267
32,11,-233.4380719269856,40.49563043051344,1.378162237881779,-0.09919569419065984,-0.33525519399814346,-0.0023307911657489636,1.0809862925532678,0.004877766520109509,0.7021052683974174,-1.0066348898986832,0.04354799286241688,1.7357682600065825,-0.05759661873629792,-1.0399558226292862,18930.215689148197
32,11,-233.44813748529467,40.462197779890175,1.3779305798638908,-0.09914694873430772,-0.3352641816892257,-0.002331076635660534,1.080984431563519,0.004860401667226957,0.7053597316050237,-1.0040917185916298,0.04355833908453594,1.7357333538741504,-0.0575853048591137,-1.038681574405418,18930.120394833124
32,11,-233.4581981968702,40.42876421055687,1.3776988932566394,-0.09909820365263193,-0.33527316194487694,-0.0023313620496265897,1.0809825705737703,0.004843197166506643,0.7085429605288498,-1.0014784628826328,0.04356974025714501,1.735696936426347,-0.05759187484804692,-1.0374216231310927,18930.02510051805
32,11,-233.46825406174406,40.39532972325148,1.3774671780655487,-0.0990494589467745,-0.33528213476564694,-0.0023316474076465485,1.0809807095840218,0.004826150666738159,0.7116543706253176,-0.9987970088647387,0.043582244842290424,1.735659039102815,-0.057616019890355315,-1.0361759264928947,18929.929806202977
32,11,-233.4783050799483,40.36189431871137,1.3772354342961404,-0.09900071461787661,-0.335291100152086,-0.0023319327097198386,1.080978848594273,0.004809259841962003,0.7146933963775524,-0.9960492204646776,0.04359590063265879,1.7356196978557064,-0.05765743668778994,-1.0349444374050334,18929.834511887904
32,11,-233.48835125151516,40.328457997674434,1.3770036619539414,-0.09895197066707992,-0.3353000581047442,-0.0023322179558458826,1.0809769876045243,0.004792522391469574,0.7176594912953844,-0.9932369394428616,0.04361075475157702,1.7355789531496826,-0.05771582745659516,-1.033727104009343,18929.739217572835
32,11,-233.49839257647685,40.295020760877996,1.376771861044472,-0.09890322709552521,-0.3353090086241721,-0.002332503146024111,1.0809751266147758,0.004775936039803167,0.7205521279153495,-0.9903619853933842,0.04362685365301226,1.7355368499619146,-0.05779089992750865,-1.0325238696752823,18929.64392325776
32,11,-233.50842905486581,40.261582609059666,1.376540031573258,-0.09885448390435349,-0.3353179517109203,-0.0023327882802539504,1.080973265625027,0.004759498536755987,0.7233707978006866,-0.9874261557440217,0.043644243121572,1.7354934377820832,-0.05788236734576142,-1.0313346729999349,18929.548628942688
32,11,-233.51846068671463,40.228143542956715,1.3763081735458216,-0.0988057410947051,-0.3353268873655394,-0.0023330733585348365,1.0809714046352783,0.004743207657372129,0.7261150115413404,-0.984431225756232,0.04366296827250397,1.735448770612378,-0.05798994847107778,-1.030159447808009,18929.453334627615
32,11,-233.51846068671463,40.228143542956715,1.3763081735458216,-0.0988057410947051,-0.3353268873655394,-0.0023330733585348365,1.0809714046352783,0.004727061201946597,0.7287842987539597,-0.9813789485251554,0.043683073551696205,1.735402906967499,-0.058113367577675365,-1.0289981231518377,18929.358040312545
32,11,-233.52848747416,40.19470356366904,1.3760762869396455,-0.09875699936946836,-0.3353358154682683,-0.0023333591870990803,1.0809695436455296,0.004711056996025296,0.7313782080818974,-0.9782710549796149,0.04370460273567701,1.7353559098746552,-0.05825235445426512,-1.0278506233113787,18929.262745997472
32,11,-233.53850941520034,40.16126267158311,1.375844371707835,-0.09870825802800146,-0.33534473614008176,-0.0023336449594523836,1.080967682655781,0.0046951928904050266,0.733896307195212,-0.9751092538821142,0.043727598931614986,1.7353078468735648,-0.05840664440405133,-1.0267168677942147,18929.1674516824
32,11,-233.54852650986834,40.12782086743628,1.37561242785594,-0.09865951707144428,-0.33535364938153095,-0.002333930675594167,1.0809658216660323,0.004679466761133497,0.7363381827906658,-0.9718952318288409,0.04375210457731901,1.735258790016456,-0.058575978244731534,-1.0255967713355525,18929.072157367325
32,11,-233.55853875819707,40.09437815196569,1.3753804553895113,-0.09861077650093639,-0.33536255519316716,-0.002334216335523856,1.0809639606762838,0.00466387650950931,0.7387034405917262,-0.9686306532496629,0.04377816144123825,1.7352088158680665,-0.05876010230849669,-1.0244902438982246,18928.976863052252
32,11,-233.56854616021937,40.060934525908614,1.3751484543140977,-0.09856203631761724,-0.335371453575542,-0.0023345019392408783,1.080962099686535,0.004648420062081973,0.740991705348565,-0.9653171604081318,0.04380581062246215,1.7351580055056435,-0.05895876844203099,-1.0233971906726873,18928.881568737183
32,11,-233.57854871596876,40.02748999000206,1.37491642463525,-0.09851329652262587,-0.33538034452920684,-0.002334787486744662,1.0809602386967863,0.0046330953706518975,0.7432026208380581,-0.9619563734014808,0.043835092550720434,1.7351064445189432,-0.059171734006511933,-1.022317512077022,18928.78627442211
32,11,-233.58854642547846,39.994044544983055,1.3746843663585189,-0.09846455711710117,-0.3353892280547139,-0.002335072978034638,1.0809583777070377,0.004617900412270388,0.745335849863787,-0.9585498901606245,0.04386604698638313,1.7350542230102322,-0.05939876187761042,-1.0212511037569354,18928.690980107036
32,11,-233.5985392887818,39.96059819158859,1.374452279489453,-0.09841581810218178,-0.3353981041526148,-0.002335358413110239,1.080956516717289,0.004602833189239658,0.7473910742560367,-0.955099286450161,0.043898713020460514,1.7350014355942858,-0.05963962044549058,-1.020197856585758,18928.595685791963
32,11,-233.6085273059122,39.92715093055573,1.374220164033604,-0.09836707947900639,-0.3354069728234617,-0.0023356437919708982,1.0809546557275402,0.004587891729112818,0.7493679948717978,-0.951606115868369,0.04393312907460318,1.7349481813983891,-0.059894083614809926,-1.0191576566644451,18928.500391476893
32,11,-233.61851047690348,39.89370276262125,1.3739880199965224,-0.09831834124871303,-0.3354158340678071,-0.002335929114616054,1.0809527947377917,0.0045730740846938785,0.7512663315947647,-0.9480719098472106,0.043969332901102,1.7348945640623368,-0.06016193080471925,-1.0181303853215775,18928.40509716182
32,11,-233.6284888017893,39.860253688521965,1.3737558473837572,-0.0982696034124396,-0.3354246878862032,-0.002336214381045143,1.080950933748043,0.004558378334037757,0.7530858233353367,-0.9444981776523297,0.044007361582888094,1.7348406917384331,-0.06044294694886263,-1.0171159191133605,18928.309802846747
